Gene Symbol,p-value,Fold-change,Comparison,Experiment,Tissue
1110017D15Rik,0.660213,1.04166,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110025L11Rik,0.42816,1.0747,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110032A03Rik,0.2047735,1.07563,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110032F04Rik,0.216359,-1.0879,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110034G24Rik,0.353682,-1.1107,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110037F02Rik,0.0680737,1.09571,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110038F14Rik,0.222535,-1.1302,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110051M20Rik,0.268651,-1.12318,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110057P08Rik,0.00523664,1.33645,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110059E24Rik,0.456952,-1.06494,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110059G10Rik,0.622115,-1.03781,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1110065P20Rik,0.0279292,-1.14411,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1190002N15Rik,0.00267708,1.18692,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1190003K10Rik,0.530548,-1.04592,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1190005I06Rik,0.160667,-1.12282,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1190007I07Rik,0.0319218,-1.20753,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1300017J02Rik,0.594773,-1.05388,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1500004A13Rik,0.324953,-1.03685,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1500009C09Rik,0.855012,1.01004,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1500009L16Rik,0.320784,1.0649,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1500011B03Rik,0.475139,-1.0465,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1500011K16Rik,0.0114242,1.18886,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1500012F01Rik,0.825512,1.01421,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1500015O10Rik,0.320582,1.14182,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1520401A03Rik,0.948819,-1.00603,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1600002H07Rik,0.18136,-1.08574,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1600002K03Rik,0.570418,1.03888,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1600012H06Rik,0.514516,1.05151,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1600014C10Rik,0.0101611,-1.1725,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1600014C23Rik,0.729715,1.03046,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1600015I10Rik,0.137191,1.16028,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001C02Rik,0.783968,1.03026,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001C19Rik,0.647839,-1.02993,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001F09Rik,0.0204062,1.17699,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001G17Rik,0.411365,-1.0882,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001J03Rik,0.138303,1.12933,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001J11Rik,0.715659,1.03536,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001K19Rik,0.678658,-1.04258,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001L19Rik,0.361852,1.05359,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001O22Rik,0.274039,-1.07261,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700001P01Rik,0.90663,1.01171,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700003E16Rik,0.714373,-1.03209,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700003E24Rik,0.379646,1.08066,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700003F12Rik,0.0993472,-1.17716,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700003H04Rik,0.883342,1.01463,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700006A11Rik,0.223093,1.08612,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700006E09Rik,0.100937,-1.12121,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700007B14Rik,0.0960993,1.19878,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700007G11Rik,0.387951,1.11472,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700007K09Rik,0.759361,1.01382,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700007K13Rik,0.0180526,-1.23432,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700008J07Rik,0.640543,1.04233,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700008O03Rik,0.227392,-1.11658,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700008P02Rik,0.645495,-1.03762,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700009J07Rik,0.157783,1.12303,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700009N14Rik,0.174732,1.11279,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700010B08Rik,0.188935,-1.16906,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700010D01Rik,0.643296,-1.03636,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700010I14Rik,0.839133,1.01947,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700011A15Rik,0.18134,-1.10687,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700011E24Rik,0.0352473,1.20017,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700011H14Rik,0.0924142,1.18009,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700011I03Rik,0.610149,1.0692,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700011L22Rik,0.14574,1.11814,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700011M02Rik,0.993799,1.00072,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700012A03Rik,0.546976,1.08543,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700012B07Rik,0.133622,-1.10514,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700012B09Rik,0.153783,1.06913,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700012L04Rik,0.123884,-1.16602,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700012P22Rik,0.160564,-1.1512,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700013D24Rik,0.985293,1.00197,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700013F07Rik,0.0678361,1.1405,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700013G24Rik,0.154956,-1.13985,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700013H16Rik,0.0277456,1.14915,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700015E13Rik,0.430492,1.08472,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700015F17Rik,0.931353,1.00735,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700015G11Rik,0.161521,1.15905,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700016C15Rik,0.537049,-1.05908,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700016D06Rik,0.00564486,-1.27672,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700016D08Rik,0.568677,1.0494,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700016H13Rik,0.198595,-1.11317,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700016K19Rik,0.323297,1.05822,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700017B05Rik,0.871994,1.01725,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700017D01Rik,0.745271,1.03142,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700017N19Rik,0.727237,1.03116,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700018B08Rik,0.230837,-1.06002,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700018B24Rik,0.257458,1.09048,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700018C11Rik,0.11404,1.14318,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700018F24Rik,0.977339,1.00284,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700018L02Rik,0.0210678,1.24145,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700019A02Rik,0.183692,1.12401,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700019B03Rik,0.105817,1.1913,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700019D03Rik,0.0206589,1.23133,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700019G17Rik,0.882085,1.01046,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700019M22Rik,0.80133,1.02463,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700019N19Rik,0.846965,-1.01696,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700019O17Rik,0.148331,1.1419,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700020A23Rik,0.223644,1.08172,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700020D05Rik,0.00352465,-1.44883,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700020L24Rik,0.538316,-1.04863,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700020N01Rik,0.97959,1.00227,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700020N15Rik,0.936193,-1.00709,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700021F05Rik,0.482669,1.06142,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700021F07Rik,0.128356,1.11994,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700022A21Rik,0.637845,-1.03921,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700022I11Rik,0.145216,-1.10338,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700023F06Rik,0.297528,-1.07162,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700024B05Rik,0.443374,-1.05707,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700024G13Rik,0.794725,-1.03236,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700024P04Rik,0.81866,-1.01862,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700024P16Rik,0.678798,1.07448,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700025B11Rik,0.404083,-1.07461,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700025C18Rik,0.480004,-1.07244,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700025F22Rik,0.484044,1.075,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700025G04Rik,0.404379,1.03164,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700026L06Rik,0.194375,-1.09669,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700028J19Rik,0.105492,-1.13266,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700028P14Rik,0.829517,1.02119,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700029F12Rik,0.352429,-1.06092,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700029H14Rik,0.88637,1.0109,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700029I15Rik,0.632966,1.03021,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700029J07Rik,0.79506,1.02557,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700029P11Rik,0.14404,1.05856,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700030C10Rik,0.0153587,-1.29693,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700030F18Rik,0.740613,-1.03579,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700030J22Rik,0.937453,1.00608,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700030K09Rik,0.50318,1.061,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700031F05Rik,0.145327,-1.14032,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700031M16Rik,0.363151,-1.0911,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700034E13Rik,0.734685,1.02637,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700034H15Rik,0.433133,-1.07399,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700034I23Rik,0.304635,-1.08356,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700034J05Rik,0.20776,1.07241,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700034O15Rik,0.492715,1.07177,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700037C18Rik,0.180953,-1.16449,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700037H04Rik,0.21853,-1.07253,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700039E15Rik,0.500833,-1.0778,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700040F15Rik,0.0501186,1.14155,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700040L02Rik,0.62426,1.04574,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700042G07Rik,0.935747,1.00923,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700047I17Rik2,1.10E-09,-1.81468,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700048O20Rik,0.548348,-1.11788,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700049E17Rik1,0.457151,-1.05989,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700049E17Rik2,0.222622,-1.10202,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700049G17Rik,0.152412,1.06195,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700049L16Rik,0.85976,-1.01095,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700052K11Rik,0.0430444,-1.1402,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700056E22Rik,0.228131,-1.13213,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700057G04Rik,0.458611,-1.06759,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700060C20Rik,0.00522156,-1.23561,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700061G19Rik,0.0982167,1.16511,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700061I17Rik,0.92702,-1.00746,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700063H04Rik,0.0360499,1.21837,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700064H15Rik,0.320305,-1.10508,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700065D16Rik,0.755249,1.02422,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700066B19Rik,0.000853537,-1.33582,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700066M21Rik,0.0229592,1.15801,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700067K01Rik,0.1548,-1.10765,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700067P10Rik,0.421159,1.07478,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700069L16Rik,0.119854,1.17173,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700071K01Rik,0.132468,1.12388,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700074P13Rik,0.852797,1.0198,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700080E11Rik,0.121776,-1.29718,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700080O16Rik,0.915233,1.01442,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700084J12Rik,0.742099,-1.02352,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700084M14Rik,0.032889,1.19855,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700086D15Rik,0.447497,1.11201,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
1700086L19Rik,0.285117,1.08136,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
